date,open,high,low,close,adj_close,volume
2014-10-10,43.792000,44.139198,42.502800,42.546398,41.661427,38227500
2014-10-13,42.536400,42.915199,40.691200,41.627998,40.762127,46687500
2014-10-14,42.008400,42.439999,41.668400,42.018002,41.144012,30215000
2014-10-15,41.253201,42.439602,40.893200,42.349998,41.469109,40267500
2014-10-16,41.786800,42.950401,41.689201,42.927601,42.034695,26485000
2014-10-17,43.606800,43.779999,42.920799,43.090801,42.194500,22537500
2014-10-20,43.060799,44.177601,42.989201,44.122799,43.205032,14742500
2014-10-21,44.286400,45.473999,44.280399,45.318802,44.376163,18445000
2014-10-22,45.393600,45.465199,44.388401,44.577999,43.650764,14887500
2014-10-23,45.004799,45.657200,44.835999,45.239201,44.298214,17725000
2014-10-24,45.232800,45.632401,44.948399,45.537201,44.590015,13467500
2014-10-27,45.520000,45.759201,45.185600,45.370399,44.426689,9432500
2014-10-28,45.401600,46.274799,45.348400,46.264801,45.302479,12525000
2014-10-29,46.258400,46.360001,45.722000,45.768799,44.816792,13595000
2014-10-30,45.716801,46.179600,45.298000,45.863602,44.909626,13572500
2014-10-31,47.023201,48.273201,46.900398,48.248402,47.244820,36802500
2014-11-03,48.467602,49.160000,47.880001,47.940800,46.943615,27545000
2014-11-04,44.524799,45.049198,43.255600,43.908001,42.994701,83930000
2014-11-05,44.119999,44.639999,43.446400,43.813599,42.902264,29125000
2014-11-06,43.879200,44.011600,43.312000,43.910000,42.996655,18530000
2014-11-07,43.773998,44.023201,43.556400,43.784401,42.873672,15282500
2014-11-10,43.715599,44.827999,43.714001,44.800800,43.868927,22070000
2014-11-11,44.924000,46.747200,44.910000,46.694401,45.723141,34742500
2014-11-12,46.559601,47.135601,46.174801,46.439999,45.474033,20505000
2014-11-13,46.608002,46.959999,46.257999,46.720402,45.748608,17727500
2014-11-14,46.825600,47.001999,46.532799,46.918400,45.942486,15032500
2014-11-17,46.798401,46.872799,45.952801,46.656399,45.685928,17797500
2014-11-18,46.599602,47.000000,46.344002,46.673199,45.702381,13795000
2014-11-19,46.484001,46.696800,46.062000,46.265999,45.303654,13562500
2014-11-20,45.984798,46.519600,45.930801,46.155201,45.195160,11237500
2014-11-21,46.676399,46.676399,45.977200,46.058399,45.100372,19695000
2014-11-24,46.300800,46.459999,46.057999,46.405602,45.440350,10335000
2014-11-25,46.400002,47.292400,46.360401,47.166801,46.185715,16380000
2014-11-26,47.077999,47.195999,46.472801,46.673199,45.702381,15670000
2014-11-28,46.862000,46.862000,46.335602,46.407600,45.442310,7192500
2014-12-01,46.325600,46.598000,45.585201,46.127998,45.168533,18510000
2014-12-02,45.793999,45.909199,45.240799,45.574402,44.626442,22140000
2014-12-03,45.547600,45.639999,45.060001,45.206799,44.266491,16352500
2014-12-04,45.053600,45.862801,45.012402,45.604401,44.655815,18382500
2014-12-05,45.644798,45.715599,45.237598,45.438801,44.493664,19240000
